protocol,total_flows,completed_flows,packets_sent,retransmitted,drops,ecn,p50_fct_us,p99_fct_us
SimpleTcp,4,4,712,264,166,150,529.5,564.2
STrack,4,4,679,231,164,208,243.9,252.8
